epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1599,1.68575,2.42826,1.80914,0.50358,0.45455,0.25805,0.07631,2.02973,3.37596,2.216,0.07228,0.00028,0.00028
2,47.4365,1.61111,2.22227,1.61751,0.50472,0.5,0.21978,0.08238,1.80036,3.08129,1.89926,0.04357,0.000569994,0.000569994
3,68.7351,1.48293,2.10384,1.54466,0.56187,0.5278,0.56956,0.21561,1.54266,2.70333,1.67481,0.01486,0.000859966,0.000859966
4,90.9638,1.50327,2.07528,1.56867,0.48861,0.70424,0.63702,0.26728,1.44449,2.63341,1.7399,0.000999912,0.000999912,0.000999912
5,112.026,1.54763,2.06926,1.60231,0.32892,0.71999,0.47672,0.22799,1.42215,2.46646,1.5563,0.000999844,0.000999844,0.000999844
6,133.571,1.53042,2.04053,1.62071,0.59842,0.57437,0.54822,0.25431,1.69368,2.43237,1.80371,0.000999756,0.000999756,0.000999756
7,154.651,1.41807,1.83161,1.52243,0.72486,0.49933,0.6222,0.35666,1.4443,2.35943,1.58847,0.000999648,0.000999648,0.000999648
8,175.882,1.38296,1.8211,1.50254,0.68908,0.41162,0.55937,0.31479,1.32267,2.48257,1.47894,0.000999521,0.000999521,0.000999521
9,196.844,1.35769,1.78699,1.52161,0.53372,0.68687,0.55322,0.32351,1.2823,2.26974,1.44045,0.000999375,0.000999375,0.000999375
10,218.307,1.45337,1.75759,1.53093,0.67138,0.57828,0.53821,0.30875,1.35875,2.37718,1.53979,0.000999209,0.000999209,0.000999209
11,239.631,1.42415,1.67682,1.52424,0.47148,0.53283,0.43394,0.19708,1.54674,2.60798,1.70596,0.000999023,0.000999023,0.000999023
12,261.946,1.40469,1.73839,1.51179,0.44419,0.56594,0.48614,0.20776,1.60689,2.59315,1.83045,0.000998818,0.000998818,0.000998818
13,284.871,1.38315,1.65745,1.49621,0.60205,0.69808,0.62074,0.28538,1.59558,2.0262,1.81124,0.000998594,0.000998594,0.000998594
14,309.645,1.33326,1.59832,1.47127,0.54788,0.69697,0.67483,0.35677,1.43884,1.79837,1.61088,0.00099835,0.00099835,0.00099835
15,330.95,1.43999,1.70087,1.55418,0.6871,0.66034,0.69911,0.3718,1.49854,1.7508,1.63506,0.000998086,0.000998086,0.000998086
16,352.359,1.34126,1.59647,1.49079,0.73227,0.73485,0.7453,0.34516,1.56239,1.72072,1.66006,0.000997803,0.000997803,0.000997803
17,373.55,1.38749,1.62078,1.491,0.6918,0.78964,0.8268,0.42313,1.53937,1.67249,1.63581,0.000997501,0.000997501,0.000997501
18,394.744,1.35869,1.58569,1.47073,0.74843,0.65075,0.71755,0.40146,1.59422,1.77121,1.74837,0.000997179,0.000997179,0.000997179
19,415.902,1.32583,1.5816,1.46021,0.78547,0.61364,0.77919,0.46884,1.39733,1.74262,1.57133,0.000996838,0.000996838,0.000996838
20,437.062,1.33308,1.47112,1.48592,0.60491,0.7702,0.77257,0.47286,1.42194,1.73312,1.61662,0.000996477,0.000996477,0.000996477
21,458.244,1.27173,1.45512,1.45015,0.69355,0.64496,0.71444,0.42852,1.39125,1.7762,1.589,0.000996097,0.000996097,0.000996097
22,479.538,1.28396,1.43459,1.43194,0.68542,0.70707,0.74189,0.36176,1.68469,1.81037,1.83691,0.000995697,0.000995697,0.000995697
23,500.98,1.30545,1.47447,1.45655,0.70614,0.74463,0.75452,0.40501,1.4469,1.5732,1.57769,0.000995278,0.000995278,0.000995278
24,522.098,1.2479,1.37198,1.40622,0.80587,0.65921,0.80195,0.4441,1.4078,1.57306,1.56153,0.00099484,0.00099484,0.00099484
25,543.091,1.26112,1.37086,1.38669,0.7767,0.70721,0.77967,0.41964,1.47274,1.57046,1.61989,0.000994383,0.000994383,0.000994383
26,564.247,1.22804,1.35852,1.38645,0.67807,0.7803,0.76823,0.41626,1.4711,1.59834,1.61753,0.000993906,0.000993906,0.000993906
27,585.336,1.34476,1.44691,1.4712,0.69794,0.70696,0.75461,0.44212,1.33358,1.52638,1.51063,0.00099341,0.00099341,0.00099341
28,606.457,1.31891,1.44815,1.48835,0.56295,0.79798,0.77497,0.44588,1.4575,1.48152,1.63167,0.000992894,0.000992894,0.000992894
29,627.555,1.29886,1.38443,1.44869,0.79882,0.66919,0.81986,0.53545,1.32008,1.42295,1.4684,0.000992359,0.000992359,0.000992359
30,648.773,1.29095,1.40837,1.44082,0.77923,0.66682,0.79958,0.45428,1.54241,1.53719,1.61877,0.000991805,0.000991805,0.000991805
31,669.97,1.18409,1.29815,1.36808,0.74633,0.66858,0.78001,0.41294,1.61795,1.66317,1.72877,0.000991232,0.000991232,0.000991232
32,691.399,1.27462,1.35608,1.41751,0.7496,0.68839,0.76283,0.42334,1.5672,1.66356,1.73475,0.00099064,0.00099064,0.00099064
33,712.777,1.25691,1.27697,1.40312,0.83159,0.67381,0.77199,0.47765,1.4596,1.5935,1.6229,0.000990028,0.000990028,0.000990028
34,742.705,1.20952,1.33028,1.41948,0.7678,0.71779,0.78432,0.48569,1.49362,1.37086,1.59516,0.000989398,0.000989398,0.000989398
35,763.759,1.29577,1.27312,1.44569,0.82962,0.77156,0.84671,0.54309,1.30877,1.2597,1.44831,0.000988748,0.000988748,0.000988748
36,789.507,1.2807,1.35309,1.43776,0.67079,0.84343,0.83074,0.54065,1.36547,1.25575,1.50595,0.000988079,0.000988079,0.000988079
37,813.601,1.29506,1.25583,1.43522,0.76977,0.82258,0.85556,0.50945,1.46462,1.31913,1.55777,0.000987391,0.000987391,0.000987391
38,834.698,1.24194,1.24545,1.38478,0.93556,0.61815,0.83094,0.53623,1.24767,1.46523,1.39194,0.000986684,0.000986684,0.000986684
39,856.009,1.27926,1.3703,1.43113,0.87562,0.78747,0.89503,0.52878,1.39175,1.28911,1.48181,0.000985958,0.000985958,0.000985958
40,877.765,1.22931,1.21647,1.40812,0.89196,0.76299,0.79604,0.40491,1.57746,1.32261,1.65012,0.000985213,0.000985213,0.000985213
41,898.81,1.23189,1.25012,1.39674,0.83801,0.74495,0.77755,0.37951,1.54314,1.33956,1.65604,0.000984449,0.000984449,0.000984449
42,920.249,1.28433,1.28234,1.42789,0.89286,0.88131,0.89945,0.45082,1.51021,1.11298,1.61726,0.000983666,0.000983666,0.000983666
43,941.175,1.20824,1.21606,1.38647,0.81897,0.82576,0.86855,0.52981,1.38647,1.10092,1.4904,0.000982864,0.000982864,0.000982864
44,962.263,1.28355,1.34157,1.42732,0.86175,0.82546,0.82759,0.48822,1.42883,1.20603,1.52103,0.000982043,0.000982043,0.000982043
45,983.378,1.27517,1.18676,1.39851,0.79687,0.82576,0.83714,0.4389,1.56749,1.22088,1.66474,0.000981204,0.000981204,0.000981204
46,1004.24,1.14398,1.20823,1.3304,0.86308,0.81566,0.87479,0.50269,1.48851,1.15938,1.59521,0.000980345,0.000980345,0.000980345
47,1025.34,1.18979,1.10154,1.35826,0.80209,0.86111,0.86192,0.5358,1.36703,1.28035,1.49833,0.000979468,0.000979468,0.000979468
48,1046.7,1.1452,1.12915,1.34877,0.77756,0.72148,0.8184,0.51316,1.29699,1.44295,1.46264,0.000978572,0.000978572,0.000978572
49,1067.81,1.26996,1.21826,1.40009,0.69165,0.7694,0.80316,0.4883,1.43585,1.83491,1.62787,0.000977658,0.000977658,0.000977658
50,1088.73,1.22236,1.15852,1.39136,0.79741,0.81374,0.85052,0.50215,1.40961,1.3952,1.55469,0.000976725,0.000976725,0.000976725
51,1109.88,1.2234,1.15563,1.41863,0.83168,0.80608,0.87658,0.53068,1.39544,1.16804,1.49198,0.000975773,0.000975773,0.000975773
52,1130.87,1.16877,1.09678,1.33076,0.77106,0.74744,0.82792,0.50219,1.32252,1.19359,1.42753,0.000974803,0.000974803,0.000974803
53,1151.83,1.24697,1.20032,1.39581,0.82387,0.7803,0.80661,0.53496,1.18147,1.21981,1.33732,0.000973814,0.000973814,0.000973814
