epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.424,1.61065,3.06071,2.01622,0.00352,0.97222,0.28773,0.14098,1.11795,3.72873,2.04857,0.00011669,0.00011669,0.00011669
2,186.94,1.22126,2.6429,1.67025,0.00353,1,0.41292,0.23243,0.97889,3.55579,1.78676,0.000237673,0.000237673,0.000237673
3,252.866,1.23834,2.14133,1.65047,0.00355,1,0.54295,0.28039,0.95139,3.38849,1.69838,0.000345452,0.000345452,0.000345452
4,315.429,1.12164,1.8345,1.55751,0.00353,1,0.63011,0.35602,1.13484,3.42159,1.83684,0.00044003,0.00044003,0.00044003
5,376.798,1.31897,1.87227,1.7809,0.59333,0.42172,0.55676,0.28657,1.52815,3.35157,2.25,0.000521404,0.000521404,0.000521404
6,438.192,1.18229,1.80518,1.62695,0.67799,0.37085,0.44404,0.20112,1.36894,3.32717,2.15906,0.000589576,0.000589576,0.000589576
7,499.904,1.1534,1.64645,1.54947,0.54963,0.29293,0.38052,0.17269,1.63883,3.52604,2.33373,0.000644546,0.000644546,0.000644546
8,561.564,1.14078,1.48136,1.50407,0.65473,0.55413,0.68227,0.3405,1.32417,2.84508,2.2625,0.000686312,0.000686312,0.000686312
9,623.622,1.00558,1.35402,1.41346,0.70379,0.74466,0.78804,0.40788,1.29922,2.73544,2.35728,0.000714876,0.000714876,0.000714876
10,685.804,1.07053,1.30749,1.41042,0.75871,0.67746,0.76752,0.35132,1.52715,2.75101,2.47235,0.000730238,0.000730238,0.000730238
11,747.79,1.20299,2.38718,1.82177,0.75109,0.52273,0.64919,0.3249,1.55418,3.03501,2.84005,0.000732396,0.000732396,0.000732396
12,811.384,1.01812,1.89533,1.62168,0.87985,0.65995,0.77167,0.48681,1.22473,2.49838,2.24915,0.000721353,0.000721353,0.000721353
13,872.359,1.15517,1.79616,1.86501,0.71303,0.62376,0.64801,0.4293,1.18812,2.55729,2.18405,0.000676802,0.000676802,0.000676802
14,947.176,0.98746,1.56709,1.55387,0.7322,0.61293,0.59762,0.36358,1.26671,2.67129,2.24632,0.000594286,0.000594286,0.000594286
15,1044.55,0.90485,1.64889,1.47882,0.69965,0.83333,0.81604,0.54872,1.15613,2.23423,2.0059,0.000511769,0.000511769,0.000511769
16,1125.39,0.93616,1.71227,1.43514,0.91366,0.74742,0.88391,0.59864,1.12304,2.00085,1.94611,0.000429253,0.000429253,0.000429253
17,1204.43,0.8241,1.44349,1.41094,0.77948,0.81566,0.87519,0.60306,1.05697,2.04517,1.80761,0.000346736,0.000346736,0.000346736
18,1288.07,0.80045,1.44352,1.32446,0.7544,0.79241,0.84396,0.58279,1.03851,2.05483,1.81204,0.00026422,0.00026422,0.00026422
19,1374.04,0.77989,1.33384,1.3664,0.78771,0.75225,0.81098,0.57293,1.02759,2.02248,1.8113,0.000181703,0.000181703,0.000181703
20,1463.98,0.74615,1.38095,1.3465,0.79232,0.75208,0.83379,0.60376,1.03088,2.00663,1.7855,9.91865e-05,9.91865e-05,9.91865e-05
